User Name,Sex,Comments,Likes,Replies
寂寞的时光少年,保密,其实这是要家长负责教的，但是现在很多人认为学习应该什么都教才对，你这个不会那个也不会就是老师的问题，把自己教育孩子的责任全部推给老师了，很多时候应该是家长工作时间太长了，一天10小时左右的时长基本上很难照顾到小孩，能照顾小孩的吃饭和居住就不错了，大学开设这个课程确实很有意义，但是混学分肯定多，小心被寒了心，这课程能避免很多坑，加油。,64,
十五串玥,男,[全力幻想少年_无语]我觉得可以叫社会基础认知课之家长忘记教的课,294,
别盗我自拍照,保密,支持厨子老师，大学生们真的很需要，我就是农村普通家庭出来的，父母也没有这些知识，在学校又不好意思不敢去问，现在毕业出来也吃了好多亏，一直压力很大，每天都在想办法给自己调解，很麻木又很迷茫[大哭][大哭][大哭],96,
宇宙曹级无敌开心,保密,大学生真的很需要这门课！！！强烈建议全南京巡讲！第一站来我们学校！！[星星眼],718,
不懂艺术的鱼块,保密,有慕课吗老师,161,
努力游向彼岸,男,这时候就不得不提到，我那以为学校能教我一切东西的父母了，当我不知道什么的时候，他们就会说，你这些年在学校里学的什么东西，连xxx都不知道吗，这可是常识啊。[跪了],182,他们那个年代是教这些的。。。
苏千沐酱,保密,啊，我现在毕业了几年了，还是很需要这些东西。因为我发现他总逮着我不知道的地方考我[笑哭]我总觉得我明明已经学了很多很多零零碎碎的知识，但总是能碰到。我不知道的东西,83,
乌乌乌乌乌乌漆嘛黑,女,真的很需要学习这门网课[大哭]有很多生活技能不知道为什么我爸妈是默认我长着长着自己突然就会了的[大哭]今年开学大三，收拾了下寝室衣柜才发现我的羽绒服染色了，我一直以为衣服只会在洗衣机里洗染色，我不知道挂在衣柜里不动也会染色[大哭]还被妈妈说没常识，送了两家干洗店都不知道能不能洗干净[酸了][酸了]好难过，那件羽绒服只穿了一年[大哭][大哭],53,
李先生家の甘味処,男,我强烈建议在健康与安全一栏里加入hiv相关内容，严肃脸不开玩笑，可能因为自己是gay我对这个话题特别敏感，这个真的真的很有必要，除了讲怎么防护外一定一定要教检测试纸用法，高危时间阻断，窗口期疑似等等，我是真的不想看到无辜大学生因为缺乏这方面知识抱憾终生了，,66,
我脸挺白的,保密,"租房
社保
瓜果蔬菜挑选，做菜
各种的交通载具出行流程
医院看病
亲人去世办理
医药使用常识，急救常识
法律常识，出现纠纷后的解决办法
存钱理财的知识
政府社会机构的职能以及能够提供的帮
Steam游戏管家安装[doge]",56,
